Country,Year,Index,Rank
Afghanistan,2016,3.36,154
Albania,2016,4.655,109
Algeria,2016,6.355,38
Angola,2016,3.866,141
Argentina,2016,6.65,26
Armenia,2016,4.36,121
Australia,2016,7.313,9
Austria,2016,7.119,12
Azerbaijan,2016,5.291,81
Bahrain,2016,6.218,42
Bangladesh,2016,4.643,110
Belarus,2016,5.802,61
Belgium,2016,6.929,18
Belize,2016,5.956,52
Benin,2016,3.484,153
Bhutan,2016,5.196,84
Bolivia,2016,5.822,59
Bosnia and Herzegovina,2016,5.163,87
Botswana,2016,3.974,137
Brazil,2016,6.952,17
Bulgaria,2016,4.217,129
Burkina Faso,2016,3.739,146
Burundi,2016,2.905,157
Cambodia,2016,3.907,140
Cameroon,2016,4.513,114
Canada,2016,7.404,6
Chad,2016,3.763,144
Chile,2016,6.705,24
China,2016,5.245,83
Colombia,2016,6.481,31
Comoros,2016,3.956,138
Congo Brazzaville,2016,4.236,127
Congo Kinshasa,2016,4.272,125
Costa Rica,2016,7.087,14
Croatia,2016,5.488,74
Cyprus,2016,5.546,69
Czechia,2016,6.596,27
Denmark,2016,7.526,1
Dominican Republic,2016,5.155,89
Ecuador,2016,5.976,51
Egypt,2016,4.362,120
El Salvador,2016,6.068,46
Estonia,2016,5.517,72
Ethiopia,2016,4.508,115
Finland,2016,7.413,5
France,2016,6.478,32
Gabon,2016,4.121,134
Georgia,2016,4.252,126
Germany,2016,6.994,16
Ghana,2016,4.276,124
Greece,2016,5.033,99
Guatemala,2016,6.324,39
Guinea,2016,3.607,151
Haiti,2016,4.028,136
Honduras,2016,4.871,104
Hong Kong,2016,5.458,75
Hungary,2016,5.145,91
Iceland,2016,7.501,3
India,2016,4.404,118
Indonesia,2016,5.314,79
Iran,2016,4.813,105
Iraq,2016,4.575,112
Ireland,2016,6.907,19
Israel,2016,7.267,11
Italy,2016,5.977,50
Ivory Coast,2016,3.916,139
Jamaica,2016,5.51,73
Japan,2016,5.921,53
Jordan,2016,5.303,80
Kazakhstan,2016,5.919,54
Kenya,2016,4.356,122
Kosovo,2016,5.401,77
Kuwait,2016,6.239,41
Kyrgyzstan,2016,5.185,85
Laos,2016,4.876,102
Latvia,2016,5.56,68
Lebanon,2016,5.129,93
Liberia,2016,3.622,150
Libya,2016,5.615,67
Lithuania,2016,5.813,60
Luxembourg,2016,6.871,20
Madagascar,2016,3.695,148
Malawi,2016,4.156,132
Malaysia,2016,6.005,47
Mali,2016,4.073,135
Malta,2016,6.488,30
Mauritania,2016,4.201,130
Mauritius,2016,5.648,66
Mexico,2016,6.778,21
Moldova,2016,5.897,55
Mongolia,2016,4.907,101
Montenegro,2016,5.161,88
Morocco,2016,5.151,90
Myanmar,2016,4.395,119
Namibia,2016,4.574,113
Nepal,2016,4.793,107
Netherlands,2016,7.339,7
New Zealand,2016,7.334,8
Nicaragua,2016,5.992,48
Niger,2016,3.856,142
Nigeria,2016,4.875,103
North Cyprus,2016,5.771,62
North Macedonia,2016,5.121,95
Norway,2016,7.498,4
Pakistan,2016,5.132,92
Palestine,2016,4.754,108
Panama,2016,6.701,25
Paraguay,2016,5.538,70
Peru,2016,5.743,64
Philippines,2016,5.279,82
Poland,2016,5.835,58
Portugal,2016,5.123,94
Puerto Rico,2016,7.039,15
Qatar,2016,6.375,36
Romania,2016,5.528,71
Russia,2016,5.856,56
Rwanda,2016,3.515,152
Saudi Arabia,2016,6.379,35
Senegal,2016,4.219,128
Serbia,2016,5.177,86
Sierra Leone,2016,4.635,111
Singapore,2016,6.739,22
Slovakia,2016,6.078,45
Slovenia,2016,5.768,63
Somalia,2016,5.44,76
Somaliland,2016,5.057,97
South Africa,2016,4.459,116
South Korea,2016,5.835,57
South Sudan,2016,3.832,143
Spain,2016,6.361,37
Sri Lanka,2016,4.415,117
Sudan,2016,4.139,133
Suriname,2016,6.269,40
Sweden,2016,7.291,10
Switzerland,2016,7.509,2
Syria,2016,3.069,156
Taiwan,2016,6.379,34
Tajikistan,2016,4.996,100
Tanzania,2016,3.666,149
Thailand,2016,6.474,33
Togo,2016,3.303,155
Trinidad and Tobago,2016,6.168,43
Tunisia,2016,5.045,98
Turkiye,2016,5.389,78
Turkmenistan,2016,5.658,65
Uganda,2016,3.739,145
Ukraine,2016,4.324,123
United Arab Emirates,2016,6.573,28
United Kingdom,2016,6.725,23
United States,2016,7.104,13
Uruguay,2016,6.545,29
Uzbekistan,2016,5.987,49
Venezuela,2016,6.084,44
Vietnam,2016,5.061,96
Yemen,2016,3.724,147
Zambia,2016,4.795,106
Zimbabwe,2016,4.193,131
