Country,Year,Index,Rank
Afghanistan,2015,3.575,153
Albania,2015,4.959,95
Algeria,2015,5.605,68
Angola,2015,4.033,137
Argentina,2015,6.574,30
Armenia,2015,4.35,127
Australia,2015,7.284,10
Austria,2015,7.2,13
Azerbaijan,2015,5.212,80
Bahrain,2015,5.96,49
Bangladesh,2015,4.694,109
Belarus,2015,5.813,59
Belgium,2015,6.937,19
Benin,2015,3.34,155
Bhutan,2015,5.253,79
Bolivia,2015,5.89,51
Bosnia and Herzegovina,2015,4.949,96
Botswana,2015,4.332,128
Brazil,2015,6.983,16
Bulgaria,2015,4.218,134
Burkina Faso,2015,3.587,152
Burundi,2015,2.905,157
Cambodia,2015,3.819,145
Cameroon,2015,4.252,133
Canada,2015,7.427,5
Central African Republic,2015,3.678,148
Chad,2015,3.667,149
Chile,2015,6.67,27
China,2015,5.14,84
Colombia,2015,6.477,33
Comoros,2015,3.956,140
Congo Brazzaville,2015,3.989,139
Congo Kinshasa,2015,4.517,120
Costa Rica,2015,7.226,12
Croatia,2015,5.759,62
Cyprus,2015,5.689,67
Czechia,2015,6.505,31
Denmark,2015,7.527,3
Djibouti,2015,4.369,126
Dominican Republic,2015,4.885,98
Ecuador,2015,5.975,48
Egypt,2015,4.194,135
El Salvador,2015,6.13,42
Estonia,2015,5.429,73
Ethiopia,2015,4.512,122
Finland,2015,7.406,6
France,2015,6.575,29
Gabon,2015,3.896,143
Georgia,2015,4.297,130
Germany,2015,6.75,26
Ghana,2015,4.633,114
Greece,2015,4.857,102
Guatemala,2015,6.123,43
Guinea,2015,3.656,150
Haiti,2015,4.518,119
Honduras,2015,4.788,105
Hong Kong,2015,5.474,72
Hungary,2015,4.8,104
Iceland,2015,7.561,2
India,2015,4.565,117
Indonesia,2015,5.399,74
Iran,2015,4.686,110
Iraq,2015,4.677,112
Ireland,2015,6.94,18
Israel,2015,7.278,11
Italy,2015,5.948,50
Ivory Coast,2015,3.655,151
Jamaica,2015,5.709,65
Japan,2015,5.987,46
Jordan,2015,5.192,82
Kazakhstan,2015,5.855,54
Kenya,2015,4.419,125
Kosovo,2015,5.589,69
Kuwait,2015,6.295,39
Kyrgyzstan,2015,5.286,77
Laos,2015,4.876,99
Latvia,2015,5.098,89
Lebanon,2015,4.839,103
Lesotho,2015,4.898,97
Liberia,2015,4.571,116
Libya,2015,5.754,63
Lithuania,2015,5.833,56
Luxembourg,2015,6.946,17
Madagascar,2015,3.681,147
Malawi,2015,4.292,131
Malaysia,2015,5.77,61
Mali,2015,3.995,138
Malta,2015,6.302,37
Mauritania,2015,4.436,124
Mauritius,2015,5.477,71
Mexico,2015,7.187,14
Moldova,2015,5.889,52
Mongolia,2015,4.874,100
Montenegro,2015,5.192,83
Morocco,2015,5.013,92
Mozambique,2015,4.971,94
Myanmar,2015,4.307,129
Nepal,2015,4.514,121
Netherlands,2015,7.378,7
New Zealand,2015,7.286,9
Nicaragua,2015,5.828,57
Niger,2015,3.845,144
Nigeria,2015,5.268,78
North Cyprus,2015,5.695,66
North Macedonia,2015,5.007,93
Norway,2015,7.522,4
Oman,2015,6.853,22
Pakistan,2015,5.194,81
Palestine,2015,4.715,108
Panama,2015,6.786,25
Paraguay,2015,5.878,53
Peru,2015,5.824,58
Philippines,2015,5.073,90
Poland,2015,5.791,60
Portugal,2015,5.102,88
Qatar,2015,6.611,28
Romania,2015,5.124,86
Russia,2015,5.716,64
Rwanda,2015,3.465,154
Saudi Arabia,2015,6.411,35
Senegal,2015,3.904,142
Serbia,2015,5.123,87
Sierra Leone,2015,4.507,123
Singapore,2015,6.798,24
Slovakia,2015,5.995,45
Slovenia,2015,5.848,55
Somaliland,2015,5.057,91
South Africa,2015,4.642,113
South Korea,2015,5.984,47
Spain,2015,6.329,36
Sri Lanka,2015,4.271,132
Sudan,2015,4.55,118
Suriname,2015,6.269,40
Swaziland,2015,4.867,101
Sweden,2015,7.364,8
Switzerland,2015,7.587,1
Syria,2015,3.006,156
Taiwan,2015,6.298,38
Tajikistan,2015,4.786,106
Tanzania,2015,3.781,146
Thailand,2015,6.455,34
Togo,2015,2.839,158
Trinidad and Tobago,2015,6.168,41
Tunisia,2015,4.739,107
Turkiye,2015,5.332,76
Turkmenistan,2015,5.548,70
Uganda,2015,3.931,141
Ukraine,2015,4.681,111
United Arab Emirates,2015,6.901,20
United Kingdom,2015,6.867,21
United States,2015,7.119,15
Uruguay,2015,6.485,32
Uzbekistan,2015,6.003,44
Venezuela,2015,6.81,23
Vietnam,2015,5.36,75
Yemen,2015,4.077,136
Zambia,2015,5.129,85
Zimbabwe,2015,4.61,115
