Country,Year,Index,Rank
Afghanistan,2018,3.632,145
Albania,2018,4.586,112
Algeria,2018,5.295,84
Angola,2018,3.795,142
Argentina,2018,6.388,29
Armenia,2018,4.321,129
Australia,2018,7.272,10
Austria,2018,7.139,12
Azerbaijan,2018,5.201,87
Bahrain,2018,6.105,43
Bangladesh,2018,4.5,115
Belarus,2018,5.483,73
Belgium,2018,6.927,16
Belize,2018,5.956,49
Benin,2018,4.141,136
Bhutan,2018,5.082,97
Bolivia,2018,5.752,62
Bosnia and Herzegovina,2018,5.129,93
Botswana,2018,3.59,146
Brazil,2018,6.419,28
Bulgaria,2018,4.933,100
Burkina Faso,2018,4.424,121
Burundi,2018,2.905,156
Cambodia,2018,4.433,120
Cameroon,2018,4.975,99
Canada,2018,7.328,7
Central African Republic,2018,3.083,155
Chad,2018,4.301,131
Chile,2018,6.476,25
China,2018,5.246,86
Colombia,2018,6.26,37
Congo Brazzaville,2018,4.559,114
Congo Kinshasa,2018,4.245,132
Costa Rica,2018,7.072,13
Croatia,2018,5.321,82
Cyprus,2018,5.762,61
Czechia,2018,6.711,21
Denmark,2018,7.555,3
Dominican Republic,2018,5.302,83
Ecuador,2018,5.973,48
Egypt,2018,4.419,122
El Salvador,2018,6.167,40
Estonia,2018,5.739,63
Ethiopia,2018,4.35,127
Finland,2018,7.632,1
France,2018,6.489,23
Gabon,2018,4.758,103
Georgia,2018,4.34,128
Germany,2018,6.965,15
Ghana,2018,4.657,108
Greece,2018,5.358,79
Guatemala,2018,6.382,30
Guinea,2018,3.964,140
Haiti,2018,3.582,148
Honduras,2018,5.504,72
Hong Kong,2018,5.43,76
Hungary,2018,5.62,69
Iceland,2018,7.494,4
India,2018,4.19,133
Indonesia,2018,5.093,96
Iran,2018,4.707,106
Iraq,2018,4.456,117
Ireland,2018,6.977,14
Israel,2018,7.19,11
Italy,2018,6.0,47
Ivory Coast,2018,4.671,107
Jamaica,2018,5.89,56
Japan,2018,5.915,54
Jordan,2018,5.161,90
Kazakhstan,2018,5.79,60
Kenya,2018,4.41,124
Kosovo,2018,5.662,66
Kuwait,2018,6.083,45
Kyrgyzstan,2018,5.131,92
Laos,2018,4.623,110
Latvia,2018,5.933,53
Lebanon,2018,5.199,88
Lesotho,2018,3.808,141
Liberia,2018,3.495,149
Libya,2018,5.566,70
Lithuania,2018,5.952,50
Luxembourg,2018,6.91,17
Madagascar,2018,3.774,143
Malawi,2018,3.587,147
Malaysia,2018,6.322,35
Mali,2018,4.447,118
Malta,2018,6.627,22
Mauritania,2018,4.356,126
Mauritius,2018,5.891,55
Mexico,2018,6.488,24
Moldova,2018,5.64,67
Mongolia,2018,5.125,94
Montenegro,2018,5.347,81
Morocco,2018,5.254,85
Mozambique,2018,4.417,123
Myanmar,2018,4.308,130
Namibia,2018,4.441,119
Nepal,2018,4.88,101
Netherlands,2018,7.441,6
New Zealand,2018,7.324,8
Nicaragua,2018,6.141,41
Niger,2018,4.166,134
Nigeria,2018,5.155,91
North Cyprus,2018,5.835,58
North Macedonia,2018,5.185,89
Norway,2018,7.594,2
Pakistan,2018,5.472,75
Palestine,2018,4.743,104
Panama,2018,6.43,27
Paraguay,2018,5.681,64
Peru,2018,5.663,65
Philippines,2018,5.524,71
Poland,2018,6.123,42
Portugal,2018,5.41,77
Qatar,2018,6.374,32
Romania,2018,5.945,52
Russia,2018,5.81,59
Rwanda,2018,3.408,151
Saudi Arabia,2018,6.371,33
Senegal,2018,4.631,109
Serbia,2018,5.398,78
Sierra Leone,2018,4.571,113
Singapore,2018,6.343,34
Slovakia,2018,6.173,39
Slovenia,2018,5.948,51
Somalia,2018,4.982,98
South Africa,2018,4.724,105
South Korea,2018,5.875,57
South Sudan,2018,3.254,154
Spain,2018,6.31,36
Sri Lanka,2018,4.471,116
Sudan,2018,4.139,137
Sweden,2018,7.314,9
Switzerland,2018,7.487,5
Syria,2018,3.462,150
Taiwan,2018,6.441,26
Tajikistan,2018,5.352,80
Tanzania,2018,3.303,153
Thailand,2018,6.072,46
Togo,2018,3.999,139
Trinidad and Tobago,2018,6.192,38
Tunisia,2018,4.592,111
Turkiye,2018,5.483,74
Turkmenistan,2018,5.636,68
Uganda,2018,4.161,135
Ukraine,2018,4.103,138
United Arab Emirates,2018,6.774,20
United Kingdom,2018,6.814,19
United States,2018,6.886,18
Uruguay,2018,6.379,31
Uzbekistan,2018,6.096,44
Venezuela,2018,4.806,102
Vietnam,2018,5.103,95
Yemen,2018,3.355,152
Zambia,2018,4.377,125
Zimbabwe,2018,3.692,144
