Country,Year,Index,Rank
Afghanistan,2019,3.203,154
Albania,2019,4.719,107
Algeria,2019,5.211,88
Argentina,2019,6.086,47
Armenia,2019,4.559,116
Australia,2019,7.228,11
Austria,2019,7.246,10
Azerbaijan,2019,5.208,90
Bahrain,2019,6.199,37
Bangladesh,2019,4.456,125
Belarus,2019,5.323,81
Belgium,2019,6.923,18
Benin,2019,4.883,102
Bhutan,2019,5.082,95
Bolivia,2019,5.779,61
Bosnia and Herzegovina,2019,5.386,78
Botswana,2019,3.488,148
Brazil,2019,6.3,32
Bulgaria,2019,5.011,97
Burkina Faso,2019,4.587,115
Burundi,2019,3.775,145
Cambodia,2019,4.7,109
Cameroon,2019,5.044,96
Canada,2019,7.278,9
Central African Republic,2019,3.083,155
Chad,2019,4.35,132
Chile,2019,6.444,26
China,2019,5.191,93
Colombia,2019,6.125,43
Comoros,2019,3.973,142
Congo Brazzaville,2019,4.812,103
Congo Kinshasa,2019,4.418,127
Costa Rica,2019,7.167,12
Croatia,2019,5.432,75
Cyprus,2019,6.046,49
Czechia,2019,6.852,20
Denmark,2019,7.6,2
Dominican Republic,2019,5.425,77
Ecuador,2019,6.028,50
Egypt,2019,4.166,137
El Salvador,2019,6.253,35
Estonia,2019,5.893,55
Ethiopia,2019,4.286,134
Finland,2019,7.769,1
France,2019,6.592,24
Gabon,2019,4.799,104
Gambia,2019,4.516,120
Georgia,2019,4.519,119
Germany,2019,6.985,17
Ghana,2019,4.996,98
Greece,2019,5.287,82
Guatemala,2019,6.436,27
Guinea,2019,4.534,118
Haiti,2019,3.597,147
Honduras,2019,5.86,59
Hong Kong,2019,5.43,76
Hungary,2019,5.758,62
Iceland,2019,7.554,4
India,2019,4.015,140
Indonesia,2019,5.192,92
Iran,2019,4.548,117
Iraq,2019,4.437,126
Ireland,2019,7.021,16
Israel,2019,7.139,13
Italy,2019,6.223,36
Ivory Coast,2019,4.944,99
Jamaica,2019,5.89,56
Japan,2019,5.886,58
Jordan,2019,4.906,101
Kazakhstan,2019,5.809,60
Kenya,2019,4.509,121
Kosovo,2019,6.1,46
Kuwait,2019,6.021,51
Kyrgyzstan,2019,5.261,86
Laos,2019,4.796,105
Latvia,2019,5.94,53
Lebanon,2019,5.197,91
Lesotho,2019,3.802,144
Liberia,2019,3.975,141
Libya,2019,5.525,72
Lithuania,2019,6.149,42
Luxembourg,2019,7.09,14
Madagascar,2019,3.933,143
Malawi,2019,3.41,150
Malaysia,2019,5.339,80
Mali,2019,4.39,128
Malta,2019,6.726,22
Mauritania,2019,4.49,122
Mauritius,2019,5.888,57
Mexico,2019,6.595,23
Moldova,2019,5.529,71
Mongolia,2019,5.285,83
Montenegro,2019,5.523,73
Morocco,2019,5.208,89
Mozambique,2019,4.466,123
Myanmar,2019,4.36,131
Namibia,2019,4.639,113
Nepal,2019,4.913,100
Netherlands,2019,7.488,5
New Zealand,2019,7.307,8
Nicaragua,2019,6.105,45
Niger,2019,4.628,114
Nigeria,2019,5.265,85
North Cyprus,2019,5.718,64
North Macedonia,2019,5.274,84
Norway,2019,7.554,3
Pakistan,2019,5.653,67
Palestine,2019,4.696,110
Panama,2019,6.321,31
Paraguay,2019,5.743,63
Peru,2019,5.697,65
Philippines,2019,5.631,69
Poland,2019,6.182,40
Portugal,2019,5.693,66
Qatar,2019,6.374,29
Romania,2019,6.07,48
Russia,2019,5.648,68
Rwanda,2019,3.334,152
Saudi Arabia,2019,6.375,28
Senegal,2019,4.681,111
Serbia,2019,5.603,70
Sierra Leone,2019,4.374,129
Singapore,2019,6.262,34
Slovakia,2019,6.198,38
Slovenia,2019,6.118,44
Somalia,2019,4.668,112
South Africa,2019,4.722,106
South Korea,2019,5.895,54
South Sudan,2019,2.853,156
Spain,2019,6.354,30
Sri Lanka,2019,4.366,130
Swaziland,2019,4.212,135
Sweden,2019,7.343,7
Switzerland,2019,7.48,6
Syria,2019,3.462,149
Taiwan,2019,6.446,25
Tajikistan,2019,5.467,74
Tanzania,2019,3.231,153
Thailand,2019,6.008,52
Togo,2019,4.085,139
Trinidad and Tobago,2019,6.192,39
Tunisia,2019,4.461,124
Turkiye,2019,5.373,79
Turkmenistan,2019,5.247,87
Uganda,2019,4.189,136
Ukraine,2019,4.332,133
United Arab Emirates,2019,6.825,21
United Kingdom,2019,7.054,15
United States,2019,6.892,19
Uruguay,2019,6.293,33
Uzbekistan,2019,6.174,41
Venezuela,2019,4.707,108
Vietnam,2019,5.175,94
Yemen,2019,3.38,151
Zambia,2019,4.107,138
Zimbabwe,2019,3.663,146
